id,ten,khoa_id,khoa
85,K22501C,5,Luật kinh tế
86,K22502,5,Luật kinh tế
87,K22502C,5,Luật kinh tế
88,K22502CA,5,Luật kinh tế
89,K23501A,5,Luật kinh tế
90,K23501B,5,Luật kinh tế
91,K235021E,5,Luật kinh tế
92,K235022E,5,Luật kinh tế
93,K23502A,5,Luật kinh tế
94,K23502B,5,Luật kinh tế
95,K24501A,5,Luật kinh tế
96,K24501B,5,Luật kinh tế
97,K24502A,5,Luật kinh tế
98,K24502B,5,Luật kinh tế
99,K24502E1,5,Luật kinh tế
100,K24502E2,5,Luật kinh tế
101,K25501A,5,Luật kinh tế
102,K25501B,5,Luật kinh tế
103,K25502A,5,Luật kinh tế
104,K25502B,5,Luật kinh tế
105,K25502E1,5,Luật kinh tế
106,K25502E2,5,Luật kinh tế
107,K22503,6,Luật
108,K22503C,6,Luật
109,K22503CA,6,Luật
110,K22504,6,Luật
111,K22504C,6,Luật
112,K22504CP,6,Luật
113,K22505,6,Luật
114,K23503A,6,Luật
115,K23503B,6,Luật
116,K23504A,6,Luật
117,K23504B,6,Luật
118,K23505,6,Luật
119,K24503A,6,Luật
120,K24503B,6,Luật
121,K24504A,6,Luật
122,K24504B,6,Luật
123,K24505,6,Luật
124,K25503A,6,Luật
125,K25503B,6,Luật
126,K25503E,6,Luật
127,K25504A,6,Luật
128,K25504B,6,Luật
129,K25505,6,Luật
130,K22407,7,Quản trị kinh doanh
131,K22407C,7,Quản trị kinh doanh
132,K22407CA,7,Quản trị kinh doanh
133,K22410,7,Quản trị kinh doanh
134,K22410C,7,Quản trị kinh doanh
135,K22410CA,7,Quản trị kinh doanh
136,K22415,7,Quản trị kinh doanh
137,K22418,7,Quản trị kinh doanh
138,K23407,7,Quản trị kinh doanh
139,K23407E,7,Quản trị kinh doanh
140,K23410,7,Quản trị kinh doanh
141,K234101E,7,Quản trị kinh doanh
142,K234102E,7,Quản trị kinh doanh
143,K23415,7,Quản trị kinh doanh
144,K23417,7,Quản trị kinh doanh
145,K23418,7,Quản trị kinh doanh
146,K24407,7,Quản trị kinh doanh
147,K24407E,7,Quản trị kinh doanh
148,K24410,7,Quản trị kinh doanh
149,K24410E1,7,Quản trị kinh doanh
150,K24410E2,7,Quản trị kinh doanh
151,K24415,7,Quản trị kinh doanh
152,K24417,7,Quản trị kinh doanh
153,K24418,7,Quản trị kinh doanh
154,K25407,7,Quản trị kinh doanh
155,K25407E,7,Quản trị kinh doanh
156,K25410,7,Quản trị kinh doanh
157,K25410E1,7,Quản trị kinh doanh
158,K25410E2,7,Quản trị kinh doanh
159,K25415,7,Quản trị kinh doanh
160,K25417,7,Quản trị kinh doanh
161,K25418,7,Quản trị kinh doanh
162,K22404,8,Tài chính - Ngân hàng
163,K22404C,8,Tài chính - Ngân hàng
164,K22404CA,8,Tài chính - Ngân hàng
165,K22412,8,Tài chính - Ngân hàng
166,K22414,8,Tài chính - Ngân hàng
167,K22414C,8,Tài chính - Ngân hàng
168,K23404A,8,Tài chính - Ngân hàng
169,K23404B,8,Tài chính - Ngân hàng
170,K23414A,8,Tài chính - Ngân hàng
171,K23414B,8,Tài chính - Ngân hàng
172,K24404A,8,Tài chính - Ngân hàng
173,K24404B,8,Tài chính - Ngân hàng
174,K24404E,8,Tài chính - Ngân hàng
175,K24414,8,Tài chính - Ngân hàng
176,K24414H,8,Tài chính - Ngân hàng
177,K25404A,8,Tài chính - Ngân hàng
178,K25404B,8,Tài chính - Ngân hàng
179,K25404E,8,Tài chính - Ngân hàng
180,K25414,8,Tài chính - Ngân hàng
181,K25414H,8,Tài chính - Ngân hàng
182,K22413,9,Toán kinh tế
183,K22413C,9,Toán kinh tế
184,K22413CA,9,Toán kinh tế
185,K23413A,9,Toán kinh tế
186,K23413B,9,Toán kinh tế
187,K23413E,9,Toán kinh tế
188,K24413,9,Toán kinh tế
189,K24413E,9,Toán kinh tế
190,K24419,9,Toán kinh tế
191,K25413,9,Toán kinh tế
192,K25413E,9,Toán kinh tế
193,K25419,9,Toán kinh tế
